IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGHIV,New HIV infections (per 1000 uninfected population),text,WPR,Western Pacific,Country,AUS,Australia,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,<,0.01,<0.01 [<0.01 – <0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2021,true,Sex,Both sexes,BTSX,,,,,,,,,<,0.01,,<,0.01,<,0.01,<0.01 [<0.01 – <0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,<,0.01,<0.01 [<0.01 – <0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2021,true,Sex,Male,MLE,,,,,,,,,<,0.01,,<,0.01,<,0.01,<0.01 [<0.01 – <0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,HRV,Croatia,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,<,0.01,<0.01 [<0.01 – <0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,<,0.01,<0.01 [<0.01 – <0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,WPR,Western Pacific,Country,MNG,Mongolia,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,<,0.01,<0.01 [<0.01 – <0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,NLD,Netherlands,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,<,0.01,<0.01 [<0.01 – <0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,SRB,Serbia,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,<,0.01,<0.01 [<0.01 – <0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,WPR,Western Pacific,Country,SGP,Singapore,Year,2021,true,Sex,Both sexes,BTSX,,,,,,,,,<,0.01,,<,0.01,<,0.01,<0.01 [<0.01 – <0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,WPR,Western Pacific,Country,SGP,Singapore,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,<,0.01,<0.01 [<0.01 – <0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,SVK,Slovakia,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,<,0.01,<0.01 [<0.01 – <0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,SVN,Slovenia,Year,2021,true,Sex,Both sexes,BTSX,,,,,,,,,<,0.01,,<,0.01,<,0.01,<0.01 [<0.01 – <0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,SVN,Slovenia,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,<,0.01,<0.01 [<0.01 – <0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2021,true,Sex,Both sexes,BTSX,,,,,,,,,<,0.01,,<,0.01,<,0.01,<0.01 [<0.01 – <0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,<,0.01,<0.01 [<0.01 – <0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,,0.01,<0.01 [<0.01 – 0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,DNK,Denmark,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,,0.01,<0.01 [<0.01 – 0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,ITA,Italy,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,,0.01,<0.01 [<0.01 – 0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,MNE,Montenegro,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,,0.01,<0.01 [<0.01 – 0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,WPR,Western Pacific,Country,NZL,New Zealand,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,,0.01,<0.01 [<0.01 – 0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,NOR,Norway,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,,0.01,<0.01 [<0.01 – 0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2021,true,Sex,Male,MLE,,,,,,,,,<,0.01,,<,0.01,,0.01,<0.01 [<0.01 – 0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,COM,Comoros,Year,2021,true,Sex,Both sexes,BTSX,,,,,,,,,<,0.01,,<,0.01,,0.02,<0.01 [<0.01 – 0.02],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,COM,Comoros,Year,2021,true,Sex,Female,FMLE,,,,,,,,,<,0.01,,<,0.01,,0.02,<0.01 [<0.01 – 0.02],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,COM,Comoros,Year,2021,true,Sex,Male,MLE,,,,,,,,,<,0.01,,<,0.01,,0.02,<0.01 [<0.01 – 0.02],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,NLD,Netherlands,Year,2021,true,Sex,Both sexes,BTSX,,,,,,,,,<,0.01,,<,0.01,,0.02,<0.01 [<0.01 – 0.02],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,SVN,Slovenia,Year,2021,true,Sex,Male,MLE,,,,,,,,,<,0.01,,<,0.01,,0.02,<0.01 [<0.01 – 0.02],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,ALB,Albania,Year,2021,true,Sex,Female,FMLE,,,,,,,,,,0.01,,<,0.01,,0.02,0.01 [<0.01 – 0.02],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,ISL,Iceland,Year,2021,true,Sex,Female,FMLE,,,,,,,,,,0.01,,<,0.01,,0.02,0.01 [<0.01 – 0.02],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,NLD,Netherlands,Year,2021,true,Sex,Male,MLE,,,,,,,,,,0.01,,<,0.01,,0.02,0.01 [<0.01 – 0.02],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,NOR,Norway,Year,2021,true,Sex,Both sexes,BTSX,,,,,,,,,,0.01,,<,0.01,,0.02,0.01 [<0.01 – 0.02],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,WPR,Western Pacific,Country,SGP,Singapore,Year,2021,true,Sex,Male,MLE,,,,,,,,,,0.01,,<,0.01,,0.02,0.01 [<0.01 – 0.02],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,WPR,Western Pacific,Country,MNG,Mongolia,Year,2021,true,Sex,Both sexes,BTSX,,,,,,,,,,0.01,,,0.01,,0.01,0.01 [0.01 – 0.01],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,DNK,Denmark,Year,2021,true,Sex,Both sexes,BTSX,,,,,,,,,,0.02,,<,0.01,,0.03,0.02 [<0.01 – 0.03],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2021,true,Sex,Female,FMLE,,,,,,,,,,0.02,,<,0.01,,0.09,0.02 [<0.01 – 0.09],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2021,true,Sex,Female,FMLE,,,,,,,,,,0.02,,<,0.01,,0.12,0.02 [<0.01 – 0.12],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,BGR,Bulgaria,Year,2021,true,Sex,Female,FMLE,,,,,,,,,,0.02,,,0.01,,0.02,0.02 [0.01 – 0.02],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,CYP,Cyprus,Year,2021,true,Sex,Female,FMLE,,,,,,,,,,0.02,,,0.01,,0.02,0.02 [0.01 – 0.02],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,NOR,Norway,Year,2021,true,Sex,Male,MLE,,,,,,,,,,0.02,,,0.01,,0.02,0.02 [0.01 – 0.02],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,ROU,Romania,Year,2021,true,Sex,Female,FMLE,,,,,,,,,,0.02,,,0.01,,0.02,0.02 [0.01 – 0.02],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,SVK,Slovakia,Year,2021,true,Sex,Both sexes,BTSX,,,,,,,,,,0.02,,,0.01,,0.02,0.02 [0.01 – 0.02],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,AZE,Azerbaijan,Year,2021,true,Sex,Female,FMLE,,,,,,,,,,0.02,,,0.01,,0.03,0.02 [0.01 – 0.03],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,HRV,Croatia,Year,2021,true,Sex,Both sexes,BTSX,,,,,,,,,,0.02,,,0.01,,0.03,0.02 [0.01 – 0.03],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,GRC,Greece,Year,2021,true,Sex,Female,FMLE,,,,,,,,,,0.02,,,0.01,,0.03,0.02 [0.01 – 0.03],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,WPR,Western Pacific,Country,NZL,New Zealand,Year,2021,true,Sex,Both sexes,BTSX,,,,,,,,,,0.02,,,0.01,,0.03,0.02 [0.01 – 0.03],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,SRB,Serbia,Year,2021,true,Sex,Both sexes,BTSX,,,,,,,,,,0.02,,,0.01,,0.04,0.02 [0.01 – 0.04],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,WPR,Western Pacific,Country,AUS,Australia,Year,2021,true,Sex,Both sexes,BTSX,,,,,,,,,,0.02,,,0.02,,0.02,0.02 [0.02 – 0.02],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,WPR,Western Pacific,Country,MNG,Mongolia,Year,2021,true,Sex,Male,MLE,,,,,,,,,,0.02,,,0.02,,0.02,0.02 [0.02 – 0.02],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,ITA,Italy,Year,2021,true,Sex,Both sexes,BTSX,,,,,,,,,,0.02,,,0.02,,0.03,0.02 [0.02 – 0.03],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2021,true,Sex,Both sexes,BTSX,,,,,,,,,,0.02,,,0.02,,0.03,0.02 [0.02 – 0.03],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2021,true,Sex,Female,FMLE,,,,,,,,,,0.02,,,0.02,,0.03,0.02 [0.02 – 0.03],,,EN,2022-09-21T22:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2021,true,Sex,Male,MLE,,,,,,,,,,0.02,,,0.02,,0.03,0.02 [0.02 – 0.03],,,EN,2022-09-21T22:00:00.000Z
